UniqueID,Org,AucID,AucZac,AucKon,AucNazov1,AucVal,Porovnávacia cena,VitaznaPonuka,Mena,PocetPozvanok,PocetPrihlasenychUcast,PocetAktivnychUcast,Vitaz,AucTypUpresnenie,Kateg,Subkateg,PocetItems,PocetZmienPonuk,PocetPredlzeni,Stat,MinKrokZnizPercenta,PocKolERMMA,PocKolZadavac,PocKolNIPPON,PocKolHOLLAND,UsporaPorov,UsporaVstup,UsporaAukc,KoefVarPonukCelk,KoefVarPonukERMNIP
100-45-1364,45,1364,2017-10-13 13:30:00,2017-10-23 13:33:00,Ocelové pásky v,Jednotlivé položky,24167.04,24864.0,EUR,10,,6.0,2978,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,8,92.0,11,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1365,45,1365,2017-10-06 12:00:00,2017-10-27 12:00:00,Cenová poptávka,Multikriteriální hodnocení,0.0,116400.0,CZK,10,,2.0,3543,poptavka,"Stroje, zařízení, nástroje, nářadí",Náhradní díly,2,4.0,0,Česká republika,0.1,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1369,45,1369,2017-10-12 08:30:00,2017-10-27 08:30:00,Cenová poptávka,Multikriteriální hodnocení,0.0,13167.0,CZK,12,,4.0,3543,poptavka,"Stroje, zařízení, nástroje, nářadí",Náhradní díly,4,16.0,0,Česká republika,0.1,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1378,45,1378,2017-10-17 12:30:00,2017-10-31 11:30:00,Cenová poptávka,Multikriteriální hodnocení,0.0,52062.4,CZK,9,,2.0,5763,poptavka,"Stroje, zařízení, nástroje, nářadí",Náhradní díly,4,5.0,0,Česká republika,0.1,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1379,45,1379,2017-10-23 10:00:00,2017-10-31 09:40:00,Doprava 2018 (S,Celková nabídka účastníka,0.0,262965.0771,EUR,24,,9.0,3578,ERMMA,"Dopravní služby, auto-moto a příslušenství",Silniční přeprava,65,566.0,86,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1380,45,1380,2017-10-23 10:00:00,2017-10-31 11:46:00,Doprava 2018 (S,Celková nabídka účastníka,0.0,1189490.238,EUR,24,,18.0,4202,ERMMA,"Dopravní služby, auto-moto a příslušenství",Silniční přeprava,84,1334.0,129,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1382,45,1382,2017-10-23 10:00:00,2017-10-31 13:41:00,Doprava 2018 (S,Celková nabídka účastníka,0.0,694824.9498999999,EUR,25,,14.0,5767,ERMMA,"Dopravní služby, auto-moto a příslušenství",Silniční přeprava,106,1535.0,184,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1383,45,1383,2017-10-18 13:30:00,2017-10-23 09:54:00,Řetězové kolo s,Multikriteriální hodnocení,0.0,1028.16,CZK,6,,6.0,5761,poptavka,"Stroje, zařízení, nástroje, nářadí",Náhradní díly,1,6.0,0,Česká republika,0.1,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1385,45,1385,2017-10-20 07:36:00,2017-11-03 06:36:00,Cenová poptávka,Multikriteriální hodnocení,0.0,19845.0,CZK,11,,3.0,5240,poptavka,"Stroje, zařízení, nástroje, nářadí",Náhradní díly,4,11.0,0,Česká republika,0.1,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1386,45,1386,2017-10-24 09:30:00,2017-10-30 12:00:00,Poptávka - KOMP,Celková nabídka účastníka,0.0,822970.0,CZK,8,,2.0,5772,poptavka,"Stroje, zařízení, nástroje, nářadí",Čerpadla a kompresory,2,9.0,0,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1387,45,1387,2017-10-27 13:00:00,2017-11-02 17:00:00,Válečkový řetěz,Multikriteriální hodnocení,0.0,4623.0685,CZK,7,,5.0,5761,poptavka,"Stroje, zařízení, nástroje, nářadí",Náhradní díly,2,12.0,1,Česká republika,0.1,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1388,45,1388,2017-10-26 14:30:00,2017-11-10 13:30:00,Cenová poptávka,Multikriteriální hodnocení,0.0,61653.2,CZK,13,,4.0,5241,poptavka,"Stroje, zařízení, nástroje, nářadí",Náhradní díly,11,56.0,0,Česká republika,0.1,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1389,45,1389,2017-10-30 09:15:00,2017-11-10 13:00:00,Poptávka výroby,Celková nabídka účastníka,32398.0,7436.0,CZK,30,,4.0,5780,poptavka,"Hutní materiál, kovy a slitiny",Kovovýroba a povrchová úprava kovů,1,9.0,0,Česká republika,0.1,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1390,45,1390,2017-11-01 12:00:00,2017-11-20 13:42:00,Ocelové pásky v,Jednotlivé položky,56992.99,46329.6,EUR,8,,3.0,2978,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,8,124.0,85,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1391,45,1391,2017-11-15 10:00:00,2017-11-22 10:00:00,Cenová poptávka,Jednotlivé položky,180480.48,176909.0,EUR,2,,4.0,2980,poptavka,"Hutní materiál, kovy a slitiny","Roury, armatury a trubky",5,29.0,0,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1393,45,1393,2017-12-04 09:30:00,2017-12-18 13:30:00,Ocelové pásky v,Jednotlivé položky,54274.41,2106.0,EUR,10,,5.0,2976,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,10,108.0,28,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1394,45,1394,2018-01-02 11:00:00,2018-01-22 13:34:00,Ocelové pásky v,Jednotlivé položky,28021.15,1296.0,EUR,10,,7.0,2976,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,8,94.0,32,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1396,45,1396,2018-01-15 10:00:00,2018-01-22 10:00:00,Cenová poptávka,Jednotlivé položky,177920.085,160216.3,EUR,6,,4.0,2980,poptavka,"Hutní materiál, kovy a slitiny","Roury, armatury a trubky",5,31.0,0,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1398,45,1398,2018-02-07 10:00:00,2018-03-01 00:00:00,Pronájem manipu,Jednotlivé položky,268321.2,0.98,CZK,13,,6.0,4187,poptavka,"Stroje, zařízení, nástroje, nářadí","Manipulační technika, vozíky",30,134.0,0,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1401,45,1401,2018-02-05 14:00:00,2018-02-19 13:39:00,Ocelové pásky v,Jednotlivé položky,90019.65,4374.72,EUR,8,,6.0,2978,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,11,63.0,24,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1402,45,1402,2018-02-01 11:00:00,2018-02-11 11:00:00,Tabule nerezové,Celková nabídka účastníka,0.0,25401.6,CZK,6,,3.0,2978,poptavka,"Hutní materiál, kovy a slitiny",Plechy,1,7.0,1,Česká republika,0.1,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1404,45,1404,2018-02-09 15:00:00,2018-02-23 15:00:00,Cenová poptávka,Multikriteriální hodnocení,63678.3,57820.0,CZK,15,,3.0,3544,poptavka,"Stroje, zařízení, nástroje, nářadí",Náhradní díly,1,3.0,0,Česká republika,0.1,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1405,45,1405,2018-02-12 14:00:00,2018-02-16 15:00:00,Trubky a profil,Jednotlivé položky,220949.232,201734.96,EUR,1,,2.0,3212,poptavka,"Hutní materiál, kovy a slitiny","Roury, armatury a trubky",3,9.0,0,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1406,45,1406,2018-03-01 11:00:00,2018-03-19 13:57:00,Ocelové pásky v,Jednotlivé položky,55723.2,16618.0,EUR,8,,6.0,2978,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,10,200.0,109,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1408,45,1408,2018-03-23 11:00:00,2018-04-05 12:00:00,Cenová poptávka,Jednotlivé položky,158472.295,172025.385,EUR,3,,4.0,3163,poptavka,"Hutní materiál, kovy a slitiny","Roury, armatury a trubky",6,33.0,0,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1410,45,1410,2018-03-28 17:00:00,2018-04-04 12:00:00,Trubky a profil,Jednotlivé položky,228124.812,144680.064,EUR,1,,2.0,3163,poptavka,"Hutní materiál, kovy a slitiny","Roury, armatury a trubky",3,13.0,0,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1411,45,1411,2018-04-03 10:30:00,2018-04-23 14:16:00,Ocelové pásky v,Jednotlivé položky,83509.0,2736.0,EUR,10,,7.0,2976,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,12,316.0,225,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1413,45,1413,2018-04-25 15:00:00,2018-04-27 09:45:00,BUTYLGLYKOL (CA,Multikriteriální hodnocení,198982.89,83283.0,CZK,5,,3.0,3763,ERMMA,Chemie,Chemické látky,4,15.0,0,Česká republika,0.1,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1414,45,1414,2018-06-04 09:30:00,2018-06-18 14:03:00,Ocelové pásky v,Jednotlivé položky,42259.41,3571.2,EUR,11,,8.0,2976,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,8,326.0,141,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1415,45,1415,2018-05-25 10:00:00,2018-06-06 10:00:00,Cenová poptávka,Jednotlivé položky,157403.424,137303.22,EUR,6,,5.0,5978,poptavka,"Hutní materiál, kovy a slitiny","Roury, armatury a trubky",5,46.0,0,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1417,45,1417,2018-05-31 12:30:00,2018-06-05 10:00:00,Trubky a profil,Jednotlivé položky,225910.008,109586.72,EUR,5,,3.0,5977,poptavka,"Hutní materiál, kovy a slitiny","Roury, armatury a trubky",4,15.0,0,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1419,45,1419,2018-07-03 08:30:00,2018-07-18 13:31:00,Ocelové pásky v,Jednotlivé položky,54805.44,2772.0,EUR,10,,7.0,2976,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,11,76.0,7,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1420,45,1420,2018-08-01 08:30:00,2018-08-20 13:50:00,Ocelové pásky v,Jednotlivé položky,68548.2,2574.0,EUR,10,,6.0,2976,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,10,174.0,78,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1422,45,1422,2018-08-14 10:00:00,2018-08-28 10:00:00,Cenová poptávka,Jednotlivé položky,158841.54,140404.45,EUR,4,,5.0,5978,poptavka,"Hutní materiál, kovy a slitiny","Roury, armatury a trubky",5,46.0,0,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1424,45,1424,2018-10-22 10:00:00,2018-10-31 09:31:00,Doprava 2019 (S,Celková nabídka účastníka,243259.5973,281632.7329,EUR,16,,7.0,3519,ERMMA,"Dopravní služby, auto-moto a příslušenství",Silniční přeprava,64,336.0,78,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1425,45,1425,2018-10-22 10:00:00,2018-10-31 11:43:00,Doprava 2019 (S,Celková nabídka účastníka,989922.0031999999,1034785.92,EUR,16,,12.0,4206,ERMMA,"Dopravní služby, auto-moto a příslušenství",Silniční přeprava,76,889.0,202,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1426,45,1426,2018-10-22 10:00:00,2018-10-31 13:30:00,Doprava 2019 (S,Celková nabídka účastníka,564106.0225,527568.5634999999,EUR,12,,11.0,6330,ERMMA,"Dopravní služby, auto-moto a příslušenství",Silniční přeprava,99,1225.0,39,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1427,45,1427,2018-09-04 08:00:00,2018-09-17 13:48:00,Ocelové pásky v,Jednotlivé položky,78390.0,4017.0,EUR,11,,6.0,2976,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,12,138.0,70,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1430,45,1430,2018-10-04 12:00:00,2018-10-22 13:41:00,Ocelové pásky v,Jednotlivé položky,27417.6,26438.5,EUR,10,,6.0,2978,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,2,50.0,36,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1435,45,1435,2018-11-05 13:30:00,2018-11-19 13:53:00,Ocelové pásky v,Jednotlivé položky,22451.62,12994.48,EUR,8,,6.0,2984,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,4,187.0,123,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1437,45,1437,2018-11-12 10:00:00,2018-11-22 15:00:00,Cenová poptávka,Jednotlivé položky,161807.088,136684.08,EUR,5,,5.0,5978,poptavka,"Hutní materiál, kovy a slitiny","Roury, armatury a trubky",5,24.0,0,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1439,45,1439,2018-12-03 09:30:00,2018-12-17 13:42:00,Ocelové pásky v,Jednotlivé položky,39358.36,13209.6,EUR,11,,6.0,2984,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,6,78.0,26,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1441,45,1441,2019-01-07 14:15:00,2019-01-21 13:47:00,Ocelové pásky v,Jednotlivé položky,61149.92,46531.2,EUR,11,,7.0,2978,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,8,206.0,51,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1442,45,1442,2019-01-15 10:00:00,2019-01-24 10:00:00,Cenová poptávka,Jednotlivé položky,160678.875,122364.48,EUR,4,,5.0,5978,poptavka,"Hutní materiál, kovy a slitiny","Roury, armatury a trubky",5,30.0,0,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1443,45,1443,2019-01-24 10:30:00,2019-01-31 10:30:00,Kancelářské pot,Celková nabídka účastníka,245087.52149999997,150894.45,CZK,1,,2.0,3615,poptavka,Kancelář,Kancelářské potřeby,41,89.0,0,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1444,45,1444,2019-02-05 10:15:00,2019-02-18 13:44:00,Ocelové pásky v,Jednotlivé položky,58350.12,4455.5,EUR,7,,8.0,2976,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,9,267.0,193,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1446,45,1446,2019-01-30 10:00:00,2019-02-15 10:00:00,Technické plyny,Celková nabídka účastníka,647470.449,0.0,CZK,4,,2.0,0,poptavka,Chemie,Technické plyny,43,62.0,0,Česká republika,0.1,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1447,45,1447,2019-03-04 11:00:00,2019-03-18 13:59:00,Ocelové pásky v,Jednotlivé položky,66478.2,3104.0,EUR,11,,7.0,2976,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,11,241.0,143,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1449,45,1449,2019-04-02 08:00:00,2019-04-15 13:55:00,Ocelové pásky v,Jednotlivé položky,24477.95,2470.0,EUR,11,,8.0,2976,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,6,210.0,107,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1450,45,1450,2019-05-07 11:00:00,2019-05-20 13:30:00,Ocelové pásky v,Jednotlivé položky,70988.32,2496.0,EUR,8,,6.0,2976,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,14,78.0,0,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1451,45,1451,2019-05-17 10:00:00,2019-05-28 14:30:00,Cenová poptávka,Jednotlivé položky,152812.42200000002,121272.9,EUR,4,,6.0,5978,poptavka,"Hutní materiál, kovy a slitiny","Roury, armatury a trubky",5,44.0,0,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1452,45,1452,2019-06-03 08:45:00,2019-06-17 14:09:00,Ocelové pásky v,Jednotlivé položky,64394.64,5443.2,EUR,7,,7.0,2976,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,10,353.0,233,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1454,45,1454,2019-07-02 11:00:00,2019-07-15 13:45:00,Ocelové pásky v,Jednotlivé položky,45998.4,1732.5,EUR,9,,6.0,2978,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,7,333.0,258,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1456,45,1456,2019-08-02 09:00:00,2019-08-19 14:38:00,Ocelové pásky v,Jednotlivé položky,82452.24,1258.4,EUR,10,,7.0,2976,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,12,474.0,369,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1457,45,1457,2019-08-09 09:00:00,2019-08-28 10:00:00,Cenová poptávka,Jednotlivé položky,142383.5,120878.0,EUR,5,,6.0,5978,poptavka,"Hutní materiál, kovy a slitiny","Roury, armatury a trubky",5,36.0,0,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1458,45,1458,2019-09-06 08:15:00,2019-09-16 14:02:00,Ocelové pásky v,Jednotlivé položky,43834.35,39165.39,EUR,7,,5.0,2978,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,7,224.0,183,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1461,45,1461,2019-10-01 12:00:00,2019-10-21 13:55:00,Ocelové pásky v,Jednotlivé položky,35407.4,1228.8,EUR,8,,8.0,2976,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,8,231.0,179,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1462,45,1462,2019-10-14 10:00:00,2019-10-20 18:00:00,Cenová poptávka,Jednotlivé položky,102714.076,83333.18,EUR,7,,6.0,5978,poptavka,"Hutní materiál, kovy a slitiny","Roury, armatury a trubky",5,32.0,0,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1463,45,1463,2019-11-05 16:15:00,2019-11-18 13:58:00,Ocelové pásky v,Jednotlivé položky,41509.0,35581.68,EUR,9,,5.0,2980,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,9,226.0,172,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1464,45,1464,2019-12-02 10:00:00,2019-12-16 13:39:00,Ocelové pásky v,Jednotlivé položky,55507.92,33580.8,EUR,6,,5.0,2980,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,11,130.0,24,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1466,45,1466,2020-01-03 08:30:00,2020-01-20 13:59:00,Ocelové pásky v,Jednotlivé položky,42276.48,24170.31,EUR,9,,6.0,5970,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,9,136.0,65,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1467,45,1467,2020-01-07 09:00:00,2020-01-17 08:00:00,Cenová poptávka,Jednotlivé položky,110026.625,104638.8,EUR,7,,6.0,5978,poptavka,"Hutní materiál, kovy a slitiny","Roury, armatury a trubky",5,29.0,0,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1469,45,1469,2020-02-05 09:30:00,2020-02-17 13:31:00,Ocelové pásky v,Jednotlivé položky,60422.4,41731.2,EUR,10,,6.0,2978,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,12,81.0,5,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1471,45,1471,2020-02-26 09:00:00,2020-03-13 14:20:00,Reklamní předmě,Jednotlivé položky,1177513.623,4609318.75,CZK,8,,6.0,4076,ERMMA,"Marketing, reklama a tisk","Reklamní činnost, reklamní předměty",114,1053.0,250,Česká republika,0.1,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1472,45,1472,2020-02-12 08:20:00,2020-02-21 15:00:00,Cenová poptávka,Jednotlivé položky,209710.12,187561.92,EUR,5,,6.0,5978,poptavka,"Hutní materiál, kovy a slitiny","Roury, armatury a trubky",5,38.0,0,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1474,45,1474,2020-03-02 10:15:00,2020-03-16 13:50:00,Ocelové pásky v,Jednotlivé položky,67211.46,41502.42,EUR,9,,5.0,5970,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,9,136.0,65,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1475,45,1475,2020-04-01 10:05:00,2020-04-20 14:39:00,Ocelové pásky v,Jednotlivé položky,47104.8,32704.26,EUR,9,,5.0,5970,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,11,289.0,195,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1477,45,1477,2020-04-14 17:00:00,2020-04-21 05:00:00,Cenová poptávka,Jednotlivé položky,197293.92599999998,196018.0,EUR,8,,4.0,5978,poptavka,"Hutní materiál, kovy a slitiny","Roury, armatury a trubky",5,20.0,0,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
100-45-1478,45,1478,2020-05-04 08:30:00,2020-05-18 13:39:00,Ocelové pásky v,Jednotlivé položky,26752.0,12105.45,EUR,11,,5.0,5970,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,6,72.0,12,Česká republika,0.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
