UniqueID,Org,AucID,AucZac,AucKon,AucNazov1,AucVal,Porovnávacia cena,VitaznaPonuka,PocetPozvanok,PocetAktivnychUcast,Vitaz,AucTypUpresnenie,Kateg,Subkateg,PocetItems,PocetZmienPonuk,PocetPredlzeni,Stat,MinKrokZnizPercenta,HistoryDealsInCategory,HistoryDealsWithVitaz,MoneySpentSoFarInCategory,MoneySpentSoFarWithVitaz
1072-6-713,6,713,2018-01-29 11:00:00,2018-01-30 09:50:00,Výběrové řízení,Jednotlivé položky,0.0,15960.0,9,4.0,164,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",4,78.0,63,,0.1,1,1,420000.0,420000.0
1072-6-776,6,776,2018-07-18 06:30:00,2018-07-23 10:46:00,Výběrové řízení,Jednotlivé položky,0.0,8100.84,9,6.0,164,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",4,152.0,104,,0.1,2,2,633180.0,633180.0
1072-6-783,6,783,2018-08-06 08:30:00,2018-08-07 09:40:00,Výběrové řízení,Jednotlivé položky,0.0,13567.33,10,3.0,164,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",2,97.0,72,,0.1,3,3,990215.0,990215.0
1072-6-829,6,829,2018-11-13 12:00:00,2018-11-14 11:55:00,Výběrové řízení,Jednotlivé položky,0.0,12465.216,11,3.0,164,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",3,221.0,202,,0.1,4,4,1318247.0,1318247.0
1072-6-881,6,881,2019-04-01 13:30:00,2019-04-02 09:54:00,Výběrové řízení,Jednotlivé položky,0.0,10465.199999999999,13,5.0,164,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",2,34.0,17,,0.1,5,8,1593647.0,5619327.0
1072-6-910,6,910,2019-06-13 13:30:00,2019-06-17 09:28:00,Výběrové řízení,Jednotlivé položky,0.0,29457.6,9,3.0,164,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",4,77.0,39,,0.1,6,9,2368847.0,6394527.0
1072-6-918,6,918,2019-07-16 11:00:00,2019-07-17 09:13:00,Výběrové řízení,Jednotlivé položky,0.0,5632.208,11,4.0,164,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",3,101.0,91,,0.1,7,10,2517063.0,6542743.0
1072-6-925,6,925,2019-08-20 13:00:00,2019-08-21 09:36:00,Výběrové řízení,Jednotlivé položky,0.0,8978.564,11,4.0,164,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",2,210.0,197,,0.1,8,11,2753341.0,6779021.0
1072-6-946,6,946,2019-10-30 08:30:00,2019-10-30 10:50:00,Cenová poptávka,Jednotlivé položky,0.0,24310.272,13,4.0,164,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",3,13.0,0,,0.1,9,12,3393085.0,7418765.0
1072-6-995,6,995,2020-04-21 08:00:00,2020-04-21 11:51:00,Výběrové řízení,Jednotlivé položky,0.0,4070.56,15,2.0,164,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",2,11.0,4,,0.1,10,14,3500205.0,8060965.0
1072-6-695,6,695,2017-12-01 11:30:00,2017-12-04 11:26:00,Výběrové řízení,Jednotlivé položky,0.0,1184.232,7,4.0,458,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",3,40.0,12,,0.1,11,1,3531369.0,31164.0
