UniqueID,Org,AucID,AucZac,AucKon,AucNazov1,AucVal,Porovnávacia cena,VitaznaPonuka,Mena,PocetPozvanok,PocetAktivnychUcast,Vitaz,AucTypUpresnenie,Kateg,Subkateg,PocetItems,PocetZmienPonuk,PocetPredlzeni,Stat,MinKrokZnizPercenta,HistoryDealsInCategory,HistoryDealsWithVitaz,MoneySpentSoFarInCategory,MoneySpentSoFarWithVitaz,Relativna Uspora
100-45-1413,45,1413,2018-04-25 15:00:00,2018-04-27 09:45:00,BUTYLGLYKOL (CA,Multikriteriální hodnocení,198982.89,83283.0,CZK,5,3.0,3763,ERMMA,Chemie,Chemické látky,4,15.0,0,Česká republika,0.1,1,1,83283.0,83283.0,0.5814564759814274
100-45-1443,45,1443,2019-01-24 10:30:00,2019-01-31 10:30:00,Kancelářské pot,Celková nabídka účastníka,245087.5215,150894.45,CZK,1,2.0,3615,poptavka,Kancelář,Kancelářské potřeby,41,89.0,0,Česká republika,0.0,1,1,150894.45,150894.45,0.38432422394870885
100-45-1389,45,1389,2017-10-30 09:15:00,2017-11-10 13:00:00,Poptávka výroby,Celková nabídka účastníka,32398.0,7436.0,CZK,30,4.0,5780,poptavka,"Hutní materiál, kovy a slitiny",Kovovýroba a povrchová úprava kovů,1,9.0,0,Česká republika,0.1,1,1,7436.0,7436.0,0.7704796592382246
100-45-1398,45,1398,2018-02-07 10:00:00,2018-03-01 00:00:00,Pronájem manipu,Jednotlivé položky,268321.2,0.98,CZK,13,6.0,4187,poptavka,"Stroje, zařízení, nástroje, nářadí","Manipulační technika, vozíky",30,134.0,0,Česká republika,0.0,1,1,0.98,0.98,0.9999963476609378
100-45-1404,45,1404,2018-02-09 15:00:00,2018-02-23 15:00:00,Cenová poptávka,Multikriteriální hodnocení,63678.3,57820.0,CZK,15,3.0,3544,poptavka,"Stroje, zařízení, nástroje, nářadí",Náhradní díly,1,3.0,0,Česká republika,0.1,3,1,187387.0,57820.0,0.09199837307214549
100-45-1393,45,1393,2017-12-04 09:30:00,2017-12-18 13:30:00,Ocelové pásky v,Jednotlivé položky,54274.41,2106.0,EUR,10,5.0,2976,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,10,108.0,28,Česká republika,0.0,1,1,2106.0,2106.0,0.9611971829818141
100-45-1394,45,1394,2018-01-02 11:00:00,2018-01-22 13:34:00,Ocelové pásky v,Jednotlivé položky,28021.15,1296.0,EUR,10,7.0,2976,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,8,94.0,32,Česká republika,0.0,2,2,3402.0,3402.0,0.9537492215701354
100-45-1411,45,1411,2018-04-03 10:30:00,2018-04-23 14:16:00,Ocelové pásky v,Jednotlivé položky,83509.0,2736.0,EUR,10,7.0,2976,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,12,316.0,225,Česká republika,0.0,3,3,6138.0,6138.0,0.967237064268522
100-45-1414,45,1414,2018-06-04 09:30:00,2018-06-18 14:03:00,Ocelové pásky v,Jednotlivé položky,42259.41,3571.2,EUR,11,8.0,2976,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,8,326.0,141,Česká republika,0.0,4,4,9709.2,9709.2,0.9154933776879517
100-45-1419,45,1419,2018-07-03 08:30:00,2018-07-18 13:31:00,Ocelové pásky v,Jednotlivé položky,54805.44,2772.0,EUR,10,7.0,2976,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,11,76.0,7,Česká republika,0.0,5,5,12481.2,12481.2,0.9494210793673037
100-45-1420,45,1420,2018-08-01 08:30:00,2018-08-20 13:50:00,Ocelové pásky v,Jednotlivé položky,68548.2,2574.0,EUR,10,6.0,2976,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,10,174.0,78,Česká republika,0.0,6,6,15055.2,15055.2,0.9624497798629286
100-45-1427,45,1427,2018-09-04 08:00:00,2018-09-17 13:48:00,Ocelové pásky v,Jednotlivé položky,78390.0,4017.0,EUR,11,6.0,2976,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,12,138.0,70,Česká republika,0.0,7,7,19072.2,19072.2,0.9487562189054727
100-45-1444,45,1444,2019-02-05 10:15:00,2019-02-18 13:44:00,Ocelové pásky v,Jednotlivé položky,58350.12,4455.5,EUR,7,8.0,2976,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,9,267.0,193,Česká republika,0.0,8,8,23527.7,23527.7,0.9236419736583232
100-45-1447,45,1447,2019-03-04 11:00:00,2019-03-18 13:59:00,Ocelové pásky v,Jednotlivé položky,66478.2,3104.0,EUR,11,7.0,2976,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,11,241.0,143,Česká republika,0.0,9,9,26631.7,26631.7,0.9533080017208648
100-45-1449,45,1449,2019-04-02 08:00:00,2019-04-15 13:55:00,Ocelové pásky v,Jednotlivé položky,24477.95,2470.0,EUR,11,8.0,2976,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,6,210.0,107,Česká republika,0.0,10,10,29101.7,29101.7,0.8990928570407244
100-45-1450,45,1450,2019-05-07 11:00:00,2019-05-20 13:30:00,Ocelové pásky v,Jednotlivé položky,70988.32,2496.0,EUR,8,6.0,2976,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,14,78.0,0,Česká republika,0.0,11,11,31597.7,31597.7,0.9648392862375106
100-45-1452,45,1452,2019-06-03 08:45:00,2019-06-17 14:09:00,Ocelové pásky v,Jednotlivé položky,64394.64,5443.2,EUR,7,7.0,2976,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,10,353.0,233,Česká republika,0.0,12,12,37040.9,37040.9,0.9154712255554189
100-45-1456,45,1456,2019-08-02 09:00:00,2019-08-19 14:38:00,Ocelové pásky v,Jednotlivé položky,82452.24,1258.4,EUR,10,7.0,2976,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,12,474.0,369,Česká republika,0.0,13,13,38299.3,38299.3,0.9847378312584353
100-45-1461,45,1461,2019-10-01 12:00:00,2019-10-21 13:55:00,Ocelové pásky v,Jednotlivé položky,35407.4,1228.8,EUR,8,8.0,2976,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,8,231.0,179,Česká republika,0.0,14,14,39528.1,39528.1,0.9652953902291611
100-45-1364,45,1364,2017-10-13 13:30:00,2017-10-23 13:33:00,Ocelové pásky v,Jednotlivé položky,24167.04,24864.0,EUR,10,6.0,2978,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,8,92.0,11,Česká republika,0.0,15,1,64392.1,24864.0,-0.0288392786207992
100-45-1390,45,1390,2017-11-01 12:00:00,2017-11-20 13:42:00,Ocelové pásky v,Jednotlivé položky,56992.99,46329.6,EUR,8,3.0,2978,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,8,124.0,85,Česká republika,0.0,16,2,110721.7,71193.6,0.1871000275647935
100-45-1401,45,1401,2018-02-05 14:00:00,2018-02-19 13:39:00,Ocelové pásky v,Jednotlivé položky,90019.65,4374.72,EUR,8,6.0,2978,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,11,63.0,24,Česká republika,0.0,18,4,140498.02,100969.92,0.9514026104300561
100-45-1406,45,1406,2018-03-01 11:00:00,2018-03-19 13:57:00,Ocelové pásky v,Jednotlivé položky,55723.2,16618.0,EUR,8,6.0,2978,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,10,200.0,109,Česká republika,0.0,19,5,157116.02,117587.92,0.7017759209808482
100-45-1430,45,1430,2018-10-04 12:00:00,2018-10-22 13:41:00,Ocelové pásky v,Jednotlivé položky,27417.6,26438.5,EUR,10,6.0,2978,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,2,50.0,36,Česká republika,0.0,20,6,183554.52,144026.41999999998,0.03571063842203543
100-45-1441,45,1441,2019-01-07 14:15:00,2019-01-21 13:47:00,Ocelové pásky v,Jednotlivé položky,61149.92,46531.2,EUR,11,7.0,2978,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,8,206.0,51,Česká republika,0.0,21,7,230085.72,190557.62,0.23906359975614033
100-45-1454,45,1454,2019-07-02 11:00:00,2019-07-15 13:45:00,Ocelové pásky v,Jednotlivé položky,45998.4,1732.5,EUR,9,6.0,2978,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,7,333.0,258,Česká republika,0.0,22,8,231818.22,192290.12,0.9623356464572681
100-45-1458,45,1458,2019-09-06 08:15:00,2019-09-16 14:02:00,Ocelové pásky v,Jednotlivé položky,43834.35,39165.39,EUR,7,5.0,2978,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,7,224.0,183,Česká republika,0.0,23,9,270983.61,231455.51,0.10651372724815127
100-45-1469,45,1469,2020-02-05 09:30:00,2020-02-17 13:31:00,Ocelové pásky v,Jednotlivé položky,60422.4,41731.2,EUR,10,6.0,2978,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,12,81.0,5,Česká republika,0.0,24,10,312714.81,273186.71,0.30934223069590094
100-45-1463,45,1463,2019-11-05 16:15:00,2019-11-18 13:58:00,Ocelové pásky v,Jednotlivé položky,41509.0,35581.68,EUR,9,5.0,2980,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,9,226.0,172,Česká republika,0.0,25,3,348296.49,372706.98,0.14279602014021056
100-45-1464,45,1464,2019-12-02 10:00:00,2019-12-16 13:39:00,Ocelové pásky v,Jednotlivé položky,55507.92,33580.8,EUR,6,5.0,2980,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,11,130.0,24,Česká republika,0.0,26,4,381877.29,406287.78,0.3950268718409913
100-45-1483,45,1483,2020-07-02 12:30:00,2020-07-20 13:35:00,Ocelové pásky v,Jednotlivé položky,42382.08,27368.64,EUR,9,4.0,2980,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,12,80.0,23,Česká republika,0.0,27,5,409245.93,433656.42,0.3542402826855124
100-45-1435,45,1435,2018-11-05 13:30:00,2018-11-19 13:53:00,Ocelové pásky v,Jednotlivé položky,22451.62,12994.48,EUR,8,6.0,2984,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,4,187.0,123,Česká republika,0.0,28,1,422240.41,12994.48,0.4212230565099534
100-45-1439,45,1439,2018-12-03 09:30:00,2018-12-17 13:42:00,Ocelové pásky v,Jednotlivé položky,39358.36,13209.6,EUR,11,6.0,2984,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,6,78.0,26,Česká republika,0.0,29,2,435450.01,26204.08,0.6643762595799215
100-45-1466,45,1466,2020-01-03 08:30:00,2020-01-20 13:59:00,Ocelové pásky v,Jednotlivé položky,42276.48,24170.31,EUR,9,6.0,5970,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,9,136.0,65,Česká republika,0.0,30,1,459620.32,24170.31,0.42827997979018123
100-45-1474,45,1474,2020-03-02 10:15:00,2020-03-16 13:50:00,Ocelové pásky v,Jednotlivé položky,67211.46,41502.42,EUR,9,5.0,5970,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,9,136.0,65,Česká republika,0.0,31,2,501122.74,65672.73,0.3825097684234207
100-45-1475,45,1475,2020-04-01 10:05:00,2020-04-20 14:39:00,Ocelové pásky v,Jednotlivé položky,47104.8,32704.26,EUR,9,5.0,5970,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,11,289.0,195,Česká republika,0.0,32,3,533827.0,98376.99,0.30571279360065223
100-45-1478,45,1478,2020-05-04 08:30:00,2020-05-18 13:39:00,Ocelové pásky v,Jednotlivé položky,26752.0,12105.45,EUR,11,5.0,5970,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,6,72.0,12,Česká republika,0.0,33,4,545932.45,110482.44,0.5474936453349282
100-45-1479,45,1479,2020-06-01 10:00:00,2020-06-22 13:49:00,Ocelové pásky v,Jednotlivé položky,55386.0,38542.35,EUR,10,6.0,5970,ERMMA,"Hutní materiál, kovy a slitiny",Plechy,11,225.0,132,Česká republika,0.0,34,5,584474.8,149024.78999999998,0.3041138554869462
100-45-1471,45,1471,2020-02-26 09:00:00,2020-03-13 14:20:00,Reklamní předmě,Jednotlivé položky,1177513.623,4609318.75,CZK,8,6.0,4076,ERMMA,"Marketing, reklama a tisk","Reklamní činnost, reklamní předměty",114,1053.0,250,Česká republika,0.1,1,1,4609318.75,4609318.75,-2.914450465767563
100-45-1391,45,1391,2017-11-15 10:00:00,2017-11-22 10:00:00,Cenová poptávka,Jednotlivé položky,180480.48,176909.0,EUR,2,4.0,2980,poptavka,"Hutní materiál, kovy a slitiny","Roury, armatury a trubky",5,29.0,0,Česká republika,0.0,1,1,176909.0,176909.0,0.01978873283138437
100-45-1396,45,1396,2018-01-15 10:00:00,2018-01-22 10:00:00,Cenová poptávka,Jednotlivé položky,177920.085,160216.3,EUR,6,4.0,2980,poptavka,"Hutní materiál, kovy a slitiny","Roury, armatury a trubky",5,31.0,0,Česká republika,0.0,2,2,337125.3,337125.3,0.09950413973779297
100-45-1408,45,1408,2018-03-23 11:00:00,2018-04-05 12:00:00,Cenová poptávka,Jednotlivé položky,158472.295,172025.385,EUR,3,4.0,3163,poptavka,"Hutní materiál, kovy a slitiny","Roury, armatury a trubky",6,33.0,0,Česká republika,0.0,3,1,509150.685,172025.385,-0.08552340331791115
100-45-1410,45,1410,2018-03-28 17:00:00,2018-04-04 12:00:00,Trubky a profil,Jednotlivé položky,228124.812,144680.064,EUR,1,2.0,3163,poptavka,"Hutní materiál, kovy a slitiny","Roury, armatury a trubky",3,13.0,0,Česká republika,0.0,4,2,653830.7490000001,316705.449,0.36578549815966527
100-45-1405,45,1405,2018-02-12 14:00:00,2018-02-16 15:00:00,Trubky a profil,Jednotlivé položky,220949.232,201734.96,EUR,1,2.0,3212,poptavka,"Hutní materiál, kovy a slitiny","Roury, armatury a trubky",3,9.0,0,Česká republika,0.0,5,1,855565.709,201734.96,0.08696238419149607
100-45-1417,45,1417,2018-05-31 12:30:00,2018-06-05 10:00:00,Trubky a profil,Jednotlivé položky,225910.008,109586.72,EUR,5,3.0,5977,poptavka,"Hutní materiál, kovy a slitiny","Roury, armatury a trubky",4,15.0,0,Česká republika,0.0,6,1,965152.429,109586.72,0.5149098485269409
100-45-1415,45,1415,2018-05-25 10:00:00,2018-06-06 10:00:00,Cenová poptávka,Jednotlivé položky,157403.424,137303.22,EUR,6,5.0,5978,poptavka,"Hutní materiál, kovy a slitiny","Roury, armatury a trubky",5,46.0,0,Česká republika,0.0,7,1,1102455.649,137303.22,0.12769864523404523
100-45-1422,45,1422,2018-08-14 10:00:00,2018-08-28 10:00:00,Cenová poptávka,Jednotlivé položky,158841.54,140404.45,EUR,4,5.0,5978,poptavka,"Hutní materiál, kovy a slitiny","Roury, armatury a trubky",5,46.0,0,Česká republika,0.0,8,2,1242860.099,277707.67000000004,0.11607221889185912
100-45-1437,45,1437,2018-11-12 10:00:00,2018-11-22 15:00:00,Cenová poptávka,Jednotlivé položky,161807.088,136684.08,EUR,5,5.0,5978,poptavka,"Hutní materiál, kovy a slitiny","Roury, armatury a trubky",5,24.0,0,Česká republika,0.0,9,3,1379544.179,414391.75,0.1552651883828476
